Titolo,Link,Età,Descrizione,Tipo,Difficoltà,Durata,Lingua,Keywords
Hello World,https://studio.code.org/s/coursee-2022/lessons/4,8-12,"In this skill-building lesson, students will learn to create and animate sprites and make them interactive using events. ",Video,Media,30-60,Inglese,"['interactive using events', 'building lesson', 'animate sprites', 'students', 'skill']"
Mini-Project: About Me,https://studio.code.org/s/coursee-2022/lessons/5,8-12,Students will apply their understanding of sharing personal and private information on the web by creating an interactive poster in this mini-project.,Esercizi,Media,30-60,Inglese,"['sharing personal', 'private information', 'interactive poster', 'web', 'understanding']"
Drawing with Loops,https://studio.code.org/s/coursee-2022/lessons/6,8-12,"This context-setting lesson shifts the focus from Sprite Lab to the Artist, a new tool that students will explore throughout the remainder of the course.  ",Video,Media,30-60,Inglese,"['setting lesson shifts', 'sprite lab', 'new tool', 'explore throughout', 'students']"
Fancy Shapes using Nested Loops,https://studio.code.org/s/coursee-2022/lessons/7,8-12,"In this skill-building lesson, students will create intricate designs using the Artist. The lesson ends with an opportunity for students to create their own designs.",Video,Media,30-60,Inglese,"['create intricate designs using', 'lesson ends', 'building lesson', 'designs', 'create']"
Mini-Project: Design a Snowflake,https://studio.code.org/s/coursee-2022/lessons/8,8-12,This mini-project lesson takes students through a series of exercises to create snowflake images using characters from the Frozen movies.,Esercizi,Difficile,60-90,Inglese,"['create snowflake images using characters', 'project lesson takes students', 'frozen movies', 'series', 'mini']"
Songwriting,https://studio.code.org/s/coursee-2022/lessons/9,8-12,This context-setting lesson will help students understand why combining chunks of code into functions can be a helpful practice.,Testo,Media,30-60,Inglese,"['help students understand', 'setting lesson', 'helpful practice', 'combining chunks', 'functions']"
 Functions in Minecraft,https://studio.code.org/s/coursee-2022/lessons/10,8-12,"In this skill-building lesson, students will begin to understand how functions can be helpful!",Video,Difficile,60-90,Inglese,"['building lesson', 'understand', 'students', 'skill', 'helpful']"
 Functions with Artist,https://studio.code.org/s/coursee-2022/lessons/11,8-12,"In this skill-building lesson, students will use functions with the Artist.",Esercizi,Difficile,60-90,Inglese,"['use functions', 'building lesson', 'students', 'skill', 'artist']"
 Conditionals in Minecraft: Voyage Aquatic,https://studio.code.org/s/coursee-2022/lessons/12,8-12,"In this skill-building/context-setting lesson, students will get the chance to practice content that they have learned up to this point, as well as getting a sneak peek at conditionals!",Video,Difficile,60-90,Inglese,"['sneak peek', 'setting lesson', 'practice content', 'well', 'students']"
 Conditionals with the Farmer,https://studio.code.org/s/coursee-2022/lessons/13,8-12,"This skill-building lesson focuses on a new type of programming puzzle, featuring a farmer who needs to prepare her fields for planting crops. ",Video,Difficile,60-90,Inglese,"['building lesson focuses', 'programming puzzle', 'planting crops', 'new type', 'skill']"
 Functions with Harvester,https://studio.code.org/s/coursee-2022/lessons/14,8-12,"In this skill-building lesson, students will use conditionals with functions to harvest crops in Harvester.",Video,Media,30-60,Inglese,"['use conditionals', 'harvest crops', 'building lesson', 'students', 'skill']"
 Designing for Accessibility,https://studio.code.org/s/coursee-2022/lessons/15,8-12,"In this exploratory lesson, students will learn about accessibility and the value of empathy through brainstorming and designing accessible solutions for hypothetical apps. ",Testo,Media,30-60,Inglese,"['designing accessible solutions', 'hypothetical apps', 'exploratory lesson', 'value', 'students']"
 Digital Sharing,https://studio.code.org/s/coursee-2022/lessons/16,8-12,"This exploratory lesson helps students understand the challenges and benefits of respecting ownership and copyright, particularly in digital environments. ",Testo,Media,30-60,Inglese,"['exploratory lesson helps students understand', 'respecting ownership', 'digital environments', 'particularly', 'copyright']"
 End of Course Project,https://studio.code.org/s/coursee-2022/lessons/17,8-12,"This project lesson takes students through the process of designing, developing, and showcasing new projects! ",Testo,Difficile,120,Inglese,"['project lesson takes students', 'showcasing new projects', 'process', 'developing', 'designing']"
The Power of Words,https://studio.code.org/s/coursef-2022/lessons/1,9-13, ,Testo,Difficile,60-90,Inglese,[]
Introducing Sprite Lab,https://studio.code.org/s/coursef-2022/lessons/2,9-13,"In this context-setting lesson, students will discuss the role of computers and technology in their lives, focusing on how apps and tools give users choices about how to use them. Students will also explore apps similar to those they’ll create themselves later on.",Video,Media,30-60,Inglese,"['tools give users choices', 'also explore apps similar', 'setting lesson', 'apps', '’']"
Making Sprites,https://studio.code.org/s/coursef-2022/lessons/3,9-13,"In this skill-building lesson, students will work through a series of programming levels on the computer, finishing with an open-ended “free play” task where they can build whatever they like. Students will write programs and learn about the two concepts at the heart of Sprite Lab: sprites and behaviors. ",Video,Media,30-60,Inglese,"['ended “ free play ” task', 'write programs', 'two concepts', 'sprite lab', 'programming levels']"
Sprites in Action,https://studio.code.org/s/coursef-2022/lessons/4,9-13,"In this skill-building lesson, students will work through a series of programming levels on the computer, finishing with an open-ended “free play” task where they can build whatever they like. Students will write programs that respond to timed events and user input. ",Video,Media,30-60,Inglese,"['ended “ free play ” task', 'write programs', 'user input', 'timed events', 'programming levels']"
Mini-Project: Virtual Pet,https://studio.code.org/s/coursef-2022/lessons/5,9-13,"Students will create an interactive Virtual Pet that looks and behaves how they wish in this mini-project lesson. Students will use Sprite Lab's ""Costumes"" tool to customize their pet's appearance. They will then use events, behaviors, and other concepts they have learned to bring their project to life.",Esercizi,Difficile,60-90,Inglese,"['use sprite lab', 'interactive virtual pet', 'use events', 'project lesson', 'pet']"
Blank Space Stories,https://studio.code.org/s/coursef-2022/lessons/6,9-13,"In this context-setting lesson, students will use fill-in-the-blank stories (similar to Mad Libs®) as a context for understanding how computers take and store input from a user, then use it later as a program runs. ",Testo,Media,30-60,Inglese,"['mad libs ®)', 'store input', 'setting lesson', 'program runs', 'computers take']"
Text and Prompts,https://studio.code.org/s/coursef-2022/lessons/7,9-13,"In this skill-building lesson, students will get practice with variables in Sprite Lab. ",Video,Media,30-60,Inglese,"['sprite lab', 'get practice', 'building lesson', 'variables', 'students']"
Mini-Project: User Input Programs,https://studio.code.org/s/coursef-2022/lessons/8,9-13,"Students will apply their new skills with variables to one of three open-ended mini-projects. Students will explore sample programs, create a plan for their own project, and program it from scratch.",Testo,Media,30-60,Inglese,"['explore sample programs', 'three open', 'new skills', 'ended mini', 'variables']"
Lots of Sprites,https://studio.code.org/s/coursef-2022/lessons/9,9-13,"In this context-setting/skill-building lesson, students will go deeper into Sprite Lab's capabilities and learn how to manage groups of sprites with the same costume. ",Video,Media,30-60,Inglese,"['sprite lab', 'manage groups', 'go deeper', 'building lesson', 'students']"
 Counting with Variables,https://studio.code.org/s/coursef-2022/lessons/10,9-13,"In this skill-building lesson, students will use variables to track a value that changes over time, like a counter. This lesson also includes a short mini-project in which students create a simple game.",Esercizi,Media,30-60,Inglese,"['lesson also includes', 'building lesson', 'use variables', 'simple game', 'short mini']"
 Mini-Project: Collector Game,https://studio.code.org/s/coursef-2022/lessons/11,9-13,"In this mini-project lesson, students will create a customized ""collector game"", in which the user moves a sprite around to collect objects.",Esercizi,Media,30-60,Inglese,"['collector game "",', 'user moves', 'sprite around', 'project lesson', 'collect objects']"
